Model,LogLik,AIC,BIC
"GJR-GARCH(1,1)",5049.454393206872,-10088.908786413744,-10059.679748900555
"EGARCH(1,1)",5036.150857801649,-10064.301715603298,-10040.918485592747
"GARCH(1,1)",5033.161118139182,-10058.322236278364,-10034.939006267812
