Model,LogLik,AIC,BIC
"EGARCH(1,1)",4450.116276130726,-8892.232552261452,-8868.8493222509
"GJR-GARCH(1,1)",4441.300559558174,-8872.601119116349,-8843.37208160316
"GARCH(1,1)",4437.737249265317,-8867.474498530633,-8844.091268520082
